"","SubjectID","Activity","variable","mean"
"1","1","WALKING","tBodyAccMeanX",0.265696920582133
"2","1","WALKING","tBodyAccMeanY",-0.0182981725176081
"3","1","WALKING","tBodyAccMeanZ",-0.10784573454611
"4","1","WALKING","tBodyAccStdX",-0.545795331328326
"5","1","WALKING","tBodyAccStdY",-0.367716218227378
"6","1","WALKING","tBodyAccStdZ",-0.502645746562824
"7","1","WALKING","tGravityAccMeanX",0.744867411573487
"8","1","WALKING","tGravityAccMeanY",-0.0825562579855908
"9","1","WALKING","tGravityAccMeanZ",0.072339870389049
"10","1","WALKING","tGravityAccStdX",-0.959859435936599
"11","1","WALKING","tGravityAccStdY",-0.951150627458213
"12","1","WALKING","tGravityAccStdZ",-0.925817590867435
"13","1","WALKING","tBodyAccJerkMeanX",0.0770930495126801
"14","1","WALKING","tBodyAccJerkMeanY",0.0165908438802305
"15","1","WALKING","tBodyAccJerkMeanZ",-0.00910758730117003
"16","1","WALKING","tBodyAccJerkStdX",-0.524721922818732
"17","1","WALKING","tBodyAccJerkStdY",-0.470412403511239
"18","1","WALKING","tBodyAccJerkStdZ",-0.717322274881844
"19","1","WALKING","tBodyGyroMeanX",-0.0208764064320173
"20","1","WALKING","tBodyGyroMeanY",-0.0880722729400576
"21","1","WALKING","tBodyGyroMeanZ",0.0862641666597983
"22","1","WALKING","tBodyGyroStdX",-0.686555715201729
"23","1","WALKING","tBodyGyroStdY",-0.450979810499568
"24","1","WALKING","tBodyGyroStdZ",-0.597496136795101
"25","1","WALKING","tBodyGyroJerkMeanX",-0.0971120197265994
"26","1","WALKING","tBodyGyroJerkMeanY",-0.0417164808293948
"27","1","WALKING","tBodyGyroJerkMeanZ",-0.0471393985477522
"28","1","WALKING","tBodyGyroJerkStdX",-0.637812687210375
"29","1","WALKING","tBodyGyroJerkStdY",-0.634472244550432
"30","1","WALKING","tBodyGyroJerkStdZ",-0.664591977786455
"31","1","WALKING","tBodyAccMagMean",-0.453632943768818
"32","1","WALKING","tBodyAccMagStd",-0.497096402038329
"33","1","WALKING","tGravityAccMagMean",-0.453632943768818
"34","1","WALKING","tGravityAccMagStd",-0.497096402038329
"35","1","WALKING","tBodyAccJerkMagMean",-0.545431612066571
"36","1","WALKING","tBodyAccJerkMagStd",-0.515922167555159
"37","1","WALKING","tBodyGyroMagMean",-0.475404785802305
"38","1","WALKING","tBodyGyroMagStd",-0.499839593745821
"39","1","WALKING","tBodyGyroJerkMagMean",-0.639517432642651
"40","1","WALKING","tBodyGyroJerkMagStd",-0.652050770910663
"41","1","WALKING","fBodyAccMeanX",-0.531895161258213
"42","1","WALKING","fBodyAccMeanY",-0.406435448904438
"43","1","WALKING","fBodyAccMeanZ",-0.596411165253602
"44","1","WALKING","fBodyAccStdX",-0.553060616663401
"45","1","WALKING","fBodyAccStdY",-0.390150939647061
"46","1","WALKING","fBodyAccStdZ",-0.498583091676081
"47","1","WALKING","fBodyAccMeanFreqX",-0.180558714010749
"48","1","WALKING","fBodyAccMeanFreqY",0.0576291646962536
"49","1","WALKING","fBodyAccMeanFreqZ",0.0583692776609798
"50","1","WALKING","fBodyAccJerkMeanX",-0.547348892435764
"51","1","WALKING","fBodyAccJerkMeanY",-0.507343617969859
"52","1","WALKING","fBodyAccJerkMeanZ",-0.695305113832853
"53","1","WALKING","fBodyAccJerkStdX",-0.543979776127867
"54","1","WALKING","fBodyAccJerkStdY",-0.466251676533372
"55","1","WALKING","fBodyAccJerkStdZ",-0.737861932680115
"56","1","WALKING","fBodyAccJerkMeanFreqX",-0.0488005965884726
"57","1","WALKING","fBodyAccJerkMeanFreqY",-0.21527915818415
"58","1","WALKING","fBodyAccJerkMeanFreqZ",-0.0964496376997118
"59","1","WALKING","fBodyGyroMeanX",-0.623219182311527
"60","1","WALKING","fBodyGyroMeanY",-0.505309434070029
"61","1","WALKING","fBodyGyroMeanZ",-0.553529065425648
"62","1","WALKING","fBodyGyroStdX",-0.708263420861671
"63","1","WALKING","fBodyGyroStdY",-0.429825832648703
"64","1","WALKING","fBodyGyroStdZ",-0.650476162132565
"65","1","WALKING","fBodyGyroMeanFreqX",-0.0320324102759078
"66","1","WALKING","fBodyGyroMeanFreqY",-0.0901517235974063
"67","1","WALKING","fBodyGyroMeanFreqZ",-0.0180063943472334
"68","1","WALKING","fBodyAccMagMean",-0.478448523354179
"69","1","WALKING","fBodyAccMagStd",-0.589710231217867
"70","1","WALKING","fBodyAccMagMeanFreq",0.142062162506138
"71","1","WALKING","fBodyBodyAccJerkMagMean",-0.499075765624092
"72","1","WALKING","fBodyBodyAccJerkMagStd",-0.541823079570029
"73","1","WALKING","fBodyBodyAccJerkMagMeanFreq",0.200055179527839
"74","1","WALKING","fBodyBodyGyroMagMean",-0.535002770337752
"75","1","WALKING","fBodyBodyGyroMagStd",-0.566576670397695
"76","1","WALKING","fBodyBodyGyroMagMeanFreq",0.0649309438160231
"77","1","WALKING","fBodyBodyGyroJerkMagMean",-0.645970655298847
"78","1","WALKING","fBodyBodyGyroJerkMagStd",-0.685811262634006
"79","1","WALKING","fBodyBodyGyroJerkMagMeanFreq",0.198031580056455
"80","2","WALKING","tBodyAccMeanX",0.273113115788079
"81","2","WALKING","tBodyAccMeanY",-0.0191323183174834
"82","2","WALKING","tBodyAccMeanZ",-0.115649958175497
"83","2","WALKING","tBodyAccStdX",-0.605586497159271
"84","2","WALKING","tBodyAccStdY",-0.428962986589404
"85","2","WALKING","tBodyAccStdZ",-0.589360062210596
"86","2","WALKING","tGravityAccMeanX",0.660782866688742
"87","2","WALKING","tGravityAccMeanY",-0.147219886910411
"88","2","WALKING","tGravityAccMeanZ",0.134865335090728
"89","2","WALKING","tGravityAccStdX",-0.963015508245033
"90","2","WALKING","tGravityAccStdY",-0.960033560165563
"91","2","WALKING","tGravityAccStdZ",-0.945365383907285
"92","2","WALKING","tBodyAccJerkMeanX",0.0785353156747351
"93","2","WALKING","tBodyAccJerkMeanY",0.00708771249764901
"94","2","WALKING","tBodyAccJerkMeanZ",0.000755760748377483
"95","2","WALKING","tBodyAccJerkStdX",-0.557809603123841
"96","2","WALKING","tBodyAccJerkStdY",-0.491875889831788
"97","2","WALKING","tBodyAccJerkStdZ",-0.741885388311258
"98","2","WALKING","tBodyGyroMeanX",-0.0517030657821192
"99","2","WALKING","tBodyGyroMeanY",-0.0568420186817881
"100","2","WALKING","tBodyGyroMeanZ",0.0872599422291391
"101","2","WALKING","tBodyGyroStdX",-0.710648927815894
"102","2","WALKING","tBodyGyroStdY",-0.722943674337748
"103","2","WALKING","tBodyGyroStdZ",-0.634888927843046
"104","2","WALKING","tBodyGyroJerkMeanX",-0.0875587491668874
"105","2","WALKING","tBodyGyroJerkMeanY",-0.0433986835453642
"106","2","WALKING","tBodyGyroJerkMeanZ",-0.0557541828188742
"107","2","WALKING","tBodyGyroJerkStdX",-0.671679103311258
"108","2","WALKING","tBodyGyroJerkStdY",-0.783595466728477
"109","2","WALKING","tBodyGyroJerkStdZ",-0.674611933293046
"110","2","WALKING","tBodyAccMagMean",-0.535281800541722
"111","2","WALKING","tBodyAccMagStd",-0.552812545643709
"112","2","WALKING","tGravityAccMagMean",-0.535281800541722
"113","2","WALKING","tGravityAccMagStd",-0.552812545643709
"114","2","WALKING","tBodyAccJerkMagMean",-0.58777744543543
"115","2","WALKING","tBodyAccJerkMagStd",-0.512115278415232
"116","2","WALKING","tBodyGyroMagMean",-0.614771054893146
"117","2","WALKING","tBodyGyroMagStd",-0.680584887880795
"118","2","WALKING","tBodyGyroJerkMagMean",-0.746559539039735
"119","2","WALKING","tBodyGyroJerkMagStd",-0.740088733655629
"120","2","WALKING","fBodyAccMeanX",-0.57377091142947
"121","2","WALKING","fBodyAccMeanY",-0.432566581302351
"122","2","WALKING","fBodyAccMeanZ",-0.630081222124834
"123","2","WALKING","fBodyAccStdX",-0.619788102803311
"124","2","WALKING","fBodyAccStdY",-0.464723862913245
"125","2","WALKING","fBodyAccStdZ",-0.600678614835099
"126","2","WALKING","fBodyAccMeanFreqX",-0.106763418901788
"127","2","WALKING","fBodyAccMeanFreqY",0.105734176023146
"128","2","WALKING","fBodyAccMeanFreqZ",0.087210586428
"129","2","WALKING","fBodyAccJerkMeanX",-0.561682049622185
"130","2","WALKING","fBodyAccJerkMeanY",-0.50890379901457
"131","2","WALKING","fBodyAccJerkMeanZ",-0.715745330403973
"132","2","WALKING","fBodyAccJerkStdX",-0.595105612895033
"133","2","WALKING","fBodyAccJerkStdY",-0.509147543673841
"134","2","WALKING","fBodyAccJerkStdZ",-0.767087015496689
"135","2","WALKING","fBodyAccJerkMeanFreqX",0.0868000536209801
"136","2","WALKING","fBodyAccJerkMeanFreqY",-0.139776595362185
"137","2","WALKING","fBodyAccJerkMeanFreqZ",-0.0942651868218543
"138","2","WALKING","fBodyGyroMeanX",-0.638717694593046
"139","2","WALKING","fBodyGyroMeanY",-0.722068978635762
"140","2","WALKING","fBodyGyroMeanZ",-0.601594889654305
"141","2","WALKING","fBodyGyroStdX",-0.734588540182119
"142","2","WALKING","fBodyGyroStdY",-0.72716774102649
"143","2","WALKING","fBodyGyroStdZ",-0.683114494539735
"144","2","WALKING","fBodyGyroMeanFreqX",-0.00576500648245033
"145","2","WALKING","fBodyGyroMeanFreqY",-0.0702155008665563
"146","2","WALKING","fBodyGyroMeanFreqZ",0.0513627291214901
"147","2","WALKING","fBodyAccMagMean",-0.514569861316887
"148","2","WALKING","fBodyAccMagStd",-0.646662308457285
"149","2","WALKING","fBodyAccMagMeanFreq",0.192199738218212
"150","2","WALKING","fBodyBodyAccJerkMagMean",-0.509746432970861
"151","2","WALKING","fBodyBodyAccJerkMagStd",-0.518800797709272
"152","2","WALKING","fBodyBodyAccJerkMagMeanFreq",0.193066821118212
"153","2","WALKING","fBodyBodyGyroMagMean",-0.699742945221854
"154","2","WALKING","fBodyBodyGyroMagStd",-0.725310337688742
"155","2","WALKING","fBodyBodyGyroMagMeanFreq",0.0471324812379801
"156","2","WALKING","fBodyBodyGyroJerkMagMean",-0.751615078360927
"157","2","WALKING","fBodyBodyGyroJerkMagStd",-0.744194981440397
"158","2","WALKING","fBodyBodyGyroJerkMagMeanFreq",0.124612068599768
"159","3","WALKING","tBodyAccMeanX",0.273428719636364
